
Rk 	Pos 	Name 		Age 	G 	PA 	AB 	R 	H 	2B 	3B 	HR 	RBI 	SB 	CS 	BB 	SO 	BA 	OBP 	SLG 	OPS 	OPS+ 	TB 	GDP 	HBP 	SH 	SF 	IBB

1	OF	Denard Span*	25	145	676	578	97	180	16	10	8	68	23	10	70	89	.311	.392	.415	.807	115	240	7	10	12	6	3
2	RF	Michael Cuddyer	30	153	650	588	93	162	34	7	32	94	6	1	54	118	.276	.342	.520	.862	125	306	22	6	0	2	3
3	C	Joe Mauer*	26	138	606	523	94	191	30	1	28	96	4	1	76	63	.365	.444	.587	1.031	171	307	13	2	0	5	14
4	1B	Justin Morneau*	28	135	590	508	85	139	31	1	30	100	0	0	72	86	.274	.363	.516	.878	130	262	12	3	0	7	12
5	DH	Jason Kubel*	27	146	578	514	73	154	35	2	28	103	1	1	56	106	.300	.369	.539	.907	137	277	13	3	0	5	9
6	IF	Brendan Harris	28	123	453	414	44	108	22	1	6	37	0	2	29	78	.261	.310	.362	.672	78	150	16	3	1	6	0
7	MI	Nick Punto#	31	125	440	359	56	82	15	1	1	38	16	3	61	70	.228	.337	.284	.621	68	102	7	1	13	6	1
8	LF	Delmon Young	23	108	416	395	50	112	16	2	12	60	2	5	12	92	.284	.308	.425	.733	92	168	17	4	0	5	1
9	3B	Joe Crede	31	90	367	333	42	75	16	1	15	48	0	0	29	56	.225	.289	.414	.703	84	138	6	2	0	3	1
10	CF	Carlos Gomez	23	137	349	315	51	72	15	5	3	28	14	7	22	72	.229	.287	.337	.623	65	106	1	4	7	1	0
11	SS	Orlando Cabrera	34	59	260	242	42	70	13	3	5	36	2	0	11	32	.289	.313	.430	.742	95	104	9	0	1	6	0
12	2B	Alexi Casilla#	24	80	256	228	25	46	7	3	0	17	11	0	22	36	.202	.280	.259	.538	45	59	6	3	2	1	0
13	IF	Matt Tolbert#	27	71	231	198	28	46	7	1	2	19	6	2	21	37	.232	.303	.308	.611	63	61	1	0	10	2	1
14	3B	Brian Buscher*	28	61	164	136	14	32	3	1	2	12	0	0	24	35	.235	.360	.316	.676	82	43	3	3	0	1	0
15	C	Mike Redmond	38	45	147	135	9	32	5	1	0	7	0	0	11	19	.237	.299	.289	.588	58	39	8	1	0	0	0

Rk 	Pos 	Name 		Age 	W 	L 	W-L% 	ERA 	G 	GS 	GF 	CG 	SHO 	SV 	IP 	H 	R 	ER 	HR 	BB 	IBB 	SO 	HBP 	BK 	WP 	BF 	ERA+ 	FIP 	WHIP 	H9 	HR9 	BB9 	SO9 	SO/W

1	SP	Nick Blackburn	27	11	11	.500	4.03	33	33	0	3	0	0	205.2	240	103	92	25	41	1	98	3	0	2	882	109	4.37	1.366	10.5	1.1	1.8	4.3	2.39
2	SP	Scott Baker	27	15	9	.625	4.37	33	33	0	1	1	0	200.0	190	99	97	28	48	1	162	4	0	4	828	100	4.08	1.190	8.6	1.3	2.2	7.3	3.38
3	SP	F. Liriano*	25	5	13	.278	5.80	29	24	2	0	0	0	136.2	147	93	88	21	65	0	122	6	1	5	609	76	4.87	1.551	9.7	1.4	4.3	8.0	1.88
4	SP	Glen Perkins*	26	6	7	.462	5.89	18	17	1	0	0	0	96.1	120	64	63	13	23	0	45	1	1	2	423	75	4.66	1.484	11.2	1.2	2.1	4.2	1.96
5	SP	Kevin Slowey	25	10	3	.769	4.86	16	16	0	0	0	0	90.2	113	50	49	15	15	1	75	5	0	3	394	90	4.26	1.412	11.2	1.5	1.5	7.4	5.00
6	RP	Brian Duensing*	26	5	2	.714	3.64	24	9	3	0	0	0	84.0	84	37	34	7	31	1	53	3	0	1	359	121	4.13	1.369	9.0	0.8	3.3	5.7	1.71
7	RP	Matt Guerrier	30	5	1	.833	2.36	79	0	15	0	0	1	76.1	58	23	20	10	16	2	47	4	0	6	304	186	4.35	0.969	6.8	1.2	1.9	5.5	2.94
8	SP	Carl Pavano	33	5	4	.556	4.64	12	12	0	0	0	0	73.2	85	39	38	7	16	1	59	3	0	1	320	95	3.50	1.371	10.4	0.9	2.0	7.2	3.69
9	CL	Joe Nathan	34	2	2	.500	2.10	70	0	62	0	0	47	68.2	42	16	16	7	22	1	89	2	0	4	271	210	2.88	0.932	5.5	0.9	2.9	11.7	4.05
10	RP	R.A. Dickey	34	1	1	.500	4.62	35	1	13	0	0	0	64.1	74	34	33	8	30	1	42	4	0	4	293	95	4.99	1.617	10.4	1.1	4.2	5.9	1.40
11	RP	Jose Mijares*	24	2	2	.500	2.34	71	0	12	0	0	0	61.2	50	17	16	7	23	1	55	2	0	0	253	188	4.01	1.184	7.3	1.0	3.4	8.0	2.39
12	RP	Anthony Swarzak	23	3	7	.300	6.25	12	12	0	0	0	0	59.0	76	43	41	12	20	0	34	2	0	0	268	70	5.71	1.627	11.6	1.8	3.1	5.2	1.70
13	RP	Bobby Keppel	27	1	1	.500	4.83	37	0	8	0	0	0	54.0	63	30	29	4	21	2	32	5	0	2	242	91	4.32	1.556	10.5	0.7	3.5	5.3	1.52
14	RP	Jesse Crain	27	7	4	.636	4.70	56	0	15	0	0	0	51.2	48	28	27	3	27	3	43	5	1	1	230	94	4.05	1.452	8.4	0.5	4.7	7.5	1.59
15	RP	Luis Ayala	31	1	2	.333	4.18	28	0	11	0	0	0	32.1	38	18	15	4	8	0	21	3	0	0	138	106	4.43	1.423	10.6	1.1	2.2	5.8	2.63
